run_index,trial_index,count,planned_qubits,platform,platform_runtime_label,algorithm,backend_type,backend_name,is_fallback,included_in_analysis,success,error,execution_time_s,throughput_numbers_per_s,peak_memory_mb,qpu_qubits,time_per_item_s
3,3,256,8,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.644900061772205e-05,7023512.185832853,330.1796875,,1.4237890866297676e-07
3,3,256,8,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.4764000045252033e-05,10337586.800686609,330.1796875,,9.673437517676575e-08
3,3,256,8,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12544146300024295,2040.7925248727704,330.1953125,8,0.000490005714844699
3,4,256,8,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.647700032161083e-05,7018120.945880865,330.1953125,,1.424882825062923e-07
3,4,256,8,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.382500133535359e-05,10745015.137528036,330.1953125,,9.306641146622496e-08
3,4,256,8,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12345967600049335,2073.5515294805814,330.2421875,8,0.00048226435937692713
3,5,256,8,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.460499985725619e-05,5739266.916696443,330.2421875,,1.74238280692407e-07
3,5,256,8,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.5008001102833077e-05,10236723.796809116,330.2421875,,9.768750430794171e-08
3,5,256,8,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12525412400100322,2043.8448796939379,330.26171875,8,0.0004892739218789188
4,1,512,9,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.726200156961568e-05,13740539.381478019,330.359375,,7.277734681565562e-08
4,1,512,9,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.5212000764440745e-05,20307789.325555228,330.359375,,4.924218899304833e-08
4,1,512,9,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.13498950699977286,3792.8873982839386,330.375,9,0.00026365138085893136
4,2,512,9,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,6.687499990221113e-05,7656074.777550339,330.375,,1.306152341840061e-07
4,2,512,9,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,3.0972998501965776e-05,16530527.387185477,330.375,,6.04941376991519e-08
4,2,512,9,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12927800100078457,3960.45727839567,330.3984375,9,0.00025249609570465736
4,3,512,9,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,4.182299926469568e-05,12242067.976989824,330.3984375,,8.168554543885875e-08
4,3,512,9,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.7038999178330414e-05,18935612.099516127,330.3984375,,5.281054527017659e-08
4,3,512,9,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.12823095100065984,3992.795779837626,330.41796875,9,0.00025045107617316376
4,4,512,9,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.781200030061882e-05,13540674.810362274,330.41796875,,7.385156308714613e-08
4,4,512,9,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.6174000595347025e-05,19561396.361052223,330.421875,,5.112109491278716e-08
4,4,512,9,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.14090353900064656,3633.691556871759,330.44140625,9,0.0002752022246106378
4,5,512,9,CPU,CPU,Pseudo-RNG (Mersenne Twister),cpu,,False,True,True,,3.8552001569769345e-05,13280763.10314031,330.44140625,,7.529687806595575e-08
4,5,512,9,GPU,GPU,Parallel Pseudo-RNG (CPU Fallback),cpu-fallback,,True,False,True,,2.5708000976010226e-05,19915978.705531396,330.44140625,,5.021093940626997e-08
4,5,512,9,QPU,QPU,True Quantum RNG,simulator,aer_simulator,False,True,True,,0.1331152419988939,3846.2913210513816,330.4765625,9,0.00025999070702908966
